Factors,Questions,Mean,SD,,,,
PE1,I find TAnnotator useful in my daily life.,3.75,0.910465468,,,,
PE2,Using the TAnnotator increases my chances of achieving things that are important to me,3.65,0.7451598204,,,,
PE3,Using the TAnnotator helps me accomplish things more quickly,3.9,0.7181848465,,,,
PE4,Using TAnnotator would increase my productivity in learning,4.1,0.7181848465,,,,
EE1,Learning how to use the TAnnotator is easy for me,4.25,0.7863975157,,,,
EE2,My interaction with the TAnnotator is clear and understandable,4.15,0.6708203932,,,,
EE3, I find the TAnnotator easy to use.,4,0.7947194142,,,,
EE4,It is easy for me to become skillful at using TAnnotator,4,0.5619514869,,,,
SI1,People who are important to me would think that I should use TAnnotator,3.65,0.6708203932,,,,
SI2,People who influence my behavior would think that I should use TAnnotator,3.7,0.6569466853,,,,
SI3,People whose opinions that I value prefer that I use TAnnotator,3.85,0.6708203932,,,,
FC1,I have the resources necessary to use TAnnotator,4.2,0.8335087535,,,,
FC2, I have the knowledge necessary to use TAnnotator,4.3,0.6569466853,,,,
FC3,TAnnotator is compatible with other technologies I use,4.05,0.7591546545,,,,
FC4,I can get help from others when I have difficulties using TAnnotator.,3.95,0.7591546545,,,,
HM1,Using the TAnnotator is fun,3.85,0.4893604849,,,,
HM2,Using the TAnnotator is enjoyable.,3.85,0.5871429486,,,,
HM3,Using the TAnnotator is very entertaining.,3.75,0.6386663737,,,,
HT1,The use of the TAnnotator has become a habit for me.,3.1,0.9679060415,,,,
HT2,I must use the TAnnotator.,3.35,0.8127277009,,,,
HT3,Using the TAnnotator has become natural to me,3.45,0.8870412083,,,,
BI1,I intend to continue using the TAnnotator in the future,3.7,0.5712405706,,,,
BI2,I will always try to use the TAnnotator in my daily life,3.7,0.6569466853,,,,
BI3,I plan to continue to use TAnnotator frequently,3.65,0.6708203932,,,,
CR1,TAnnotator has displayed facts and examples relevant to content in the e-textbook,4.1,0.7181848465,,,,
,,,,,,,
Correlation,,,,,,,
,PE,EE,SI,FC,HM,HT,BI
PE,1,,,,,,
EE,0.6256551962,,,,,,
SI,0.5461656358,0.5107364887,,,,,
FC,0.6185816195,0.6064610288,0.6383802659,,,,
HM,0.5744086151,0.5207103524,0.479361353,0.3464471178,,,
HT,0.3735678667,0.376022806,0.6618691084,0.3879355208,0.5551893491,,
BI,0.2282945946,0.3378482485,0.3531696114,0.2724905217,0.2434844233,0.671489988,1
